Cycling Myeloid,Myeloid c0 DC LAMP3,Myeloid c1 LAM1 FABP5,Myeloid c2 LAM2 APOE,Myeloid c3 cDC1 CLEC9A,Myeloid c4 DCs pDC IRF7,Myeloid c5 Macrophage 3 SIGLEC1,Myeloid c7 Monocyte 3 FCGR3A,Myeloid c8 Monocyte 2 S100A9,Myeloid c9 Macrophage 2 CXCL10,Myeloid c10 Macrophage 1 EGR1,Myeloid c11 cDC2 CD1C,Myeloid c12 Monocyte 1 IL1B
SPP1,BIRC3,SPP1,C1QC,CPVL,PTGDS,C1QB,LST1,LYZ,CXCL10,C1QB,HLA-DPB1,LYZ
C1QB,TXN,APOC1,C1QA,CST3,GPR183,C1QA,AIF1,IL1B,C1QB,C1QA,HLA-DRA,IL1B
C1QC,CCR7,APOE,C1QB,HLA-DPB1,GZMB,RNASE1,SERPINA1,FCN1,C1QC,C1QC,HLA-DPA1,HLA-DRA
APOC1,CCL22,CXCL8,APOE,HLA-DPA1,IRF7,PLTP,FCER1G,S100A9,CXCL9,CCL3,HLA-DQB1,TYROBP
C1QA,HLA-DRA,FCER1G,APOC1,HLA-DRA,LILRA4,C1QC,IL1B,G0S2,C1QA,CCL3L3,HLA-DQA1,HLA-DPB1
LYZ,CCL19,CTSB,LYZ,CD74,PLAC8,TYROBP,FCN1,TYROBP,APOE,SEPP1,HLA-DRB5,HLA-DPA1
AIF1,LAMP3,CD68,TYROBP,HLA-DQB1,IRF8,MS4A6A,CTSS,PLAUR,TYROBP,TYROBP,HLA-DRB1,AIF1
TYROBP,IDO1,TYROBP,HLA-DRA,HLA-DQA1,TCL1A,CD68,LINC01272,AIF1,CCL8,MS4A6A,LYZ,G0S2
FCER1G,HLA-DPB1,C1QB,HLA-DRB1,HLA-DRB1,PLD4,F13A1,FCGR3A,LST1,LYZ,APOE,CD74,C15orf48
CTSB,FSCN1,CTSD,HLA-DRB5,LGALS2,JCHAIN,MS4A7,PLAUR,EREG,FCER1G,CXCL8,CST3,FCER1G
CD68,HLA-DQA1,C1QA,SPP1,HLA-DRB5,AREG,AIF1,APOBEC3A,S100A8,FAM26F,MS4A7,CD1C,HLA-DRB1
MS4A6A,CCL17,C1QC,CD68,S100B,IRF4,SEPP1,MS4A7,S100A12,HLA-DRA,RNASE1,HLA-DQA2,HLA-DRB5
GPX1,HLA-DPA1,LYZ,HLA-DPA1,LYZ,ITM2C,STAB1,LYPD2,FCER1G,CXCL11,CD68,FCER1A,HLA-DQA1
APOE,CD83,C15orf48,CD74,IRF8,CLIC3,CTSB,SAT1,BCL2A1,CD68,PLTP,S100B,HLA-DQB1
TUBA1B,G0S2,CCL3,FCER1G,SNX3,RGS2,DAB2,TYROBP,SERPINA1,HLA-DRB5,AIF1,LST1,CXCL8
HMGN2,EBI3,G0S2,HLA-DQA1,C1orf162,C1orf186,LGMN,COTL1,CXCL8,HLA-DRB1,F13A1,CLEC10A,PLAUR
HLA-DRA,CD74,CCL3L3,CD14,C1orf54,CCDC50,CYBB,BCL2A1,CXCL2,HLA-DQA1,HLA-DRA,IL1B,CD74
HLA-DPA1,HLA-DQB1,RNASE1,RNASE1,HLA-DQA2,IL3RA,FCER1G,G0S2,AREG,CCL3,APOC1,AREG,MS4A6A
HLA-DRB5,C15orf48,AIF1,CTSB,CLEC9A,SCT,MT1G,LILRB2,CTSS,HLA-DPA1,CTSB,SPI1,SPP1
RNASE1,BCL2A1,CTSL,MS4A6A,IDO1,ALOX5AP,MAFB,C5AR1,APOBEC3A,PLEK,HLA-DPA1,LGALS2,LST1
