CAFs MSC iCAF like s1,CAFs MSC iCAF like s2,CAFs myCAF like s4,CAFs myCAF like s5,CAFs Transitioning s3
APOD,APOD,COL3A1,COL1A1,SFRP2
DCN,CCL19,COL1A1,COL1A2,LUM
CFD,DCN,COL1A2,COL3A1,COL3A1
PTGDS,PTGDS,COL6A2,SFRP2,COL1A2
LUM,CXCL12,TIMP1,LUM,COL1A1
C3,LUM,POSTN,POSTN,DCN
SFRP2,TIMP1,LUM,CTHRC1,MMP11
C1S,COL6A2,APOD,MMP11,CTHRC1
CXCL14,C1S,BGN,FN1,SFRP4
CCDC80,COL3A1,COL6A1,SPARC,CCDC80
